aid,firstname,lastname,gender,birthdate,deathdate,birthplace,deathplace,nationality,eid,title,venue,startdate,type,paintings,country,city,latitude,longitude,age_at_exhibition,status_at_exhibition
758,Ivan,Meštrović,Male,1883,1962,Vrpolje,South Bend,Croatia,1264,XXXV. Ausstellung der Vereinigung bildender Künstler Österreichs Secession,Gebäude der Secession,1909,group,4,AT,Vienna,48.2167,16.3667,26,Alive
758,Ivan,Meštrović,Male,1883,1962,Vrpolje,South Bend,Croatia,1270,XXXIII. Ausstellung der Vereinigung bildender Künstler Österreichs Wien Secession,Gebäude der Secession,1909,group,1,AT,Vienna,48.2167,16.3667,26,Alive
758,Ivan,Meštrović,Male,1883,1962,Vrpolje,South Bend,Croatia,71,XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession,Gebäude der Secession,1906,group,1,AT,Vienna,48.2167,16.3667,23,Alive
758,Ivan,Meštrović,Male,1883,1962,Vrpolje,South Bend,Croatia,48,XXVI. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession Wien,Gebäude der Secession,1906,group,4,AT,Vienna,48.2167,16.3667,23,Alive
758,Ivan,Meštrović,Male,1883,1962,Vrpolje,South Bend,Croatia,14,XXIII. Ausstellung der Vereinigung Bildend. Künstler Österreichs Secession,Gebäude der Secession,1905,group,1,AT,Vienna,48.2167,16.3667,22,Alive
758,Ivan,Meštrović,Male,1883,1962,Vrpolje,South Bend,Croatia,71,XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession,Vereinigung bildender Künstler Österreichs Secession,1906,group,1,AT,Vienna,48.2167,16.3667,23,Alive
758,Ivan,Meštrović,Male,1883,1962,Vrpolje,South Bend,Croatia,1264,XXXV. Ausstellung der Vereinigung bildender Künstler Österreichs Secession,Vereinigung bildender Künstler Österreichs Secession,1909,group,4,AT,Vienna,48.2167,16.3667,26,Alive
758,Ivan,Meštrović,Male,1883,1962,Vrpolje,South Bend,Croatia,48,XXVI. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession Wien,Vereinigung bildender Künstler Österreichs Secession,1906,group,4,AT,Vienna,48.2167,16.3667,23,Alive
758,Ivan,Meštrović,Male,1883,1962,Vrpolje,South Bend,Croatia,1270,XXXIII. Ausstellung der Vereinigung bildender Künstler Österreichs Wien Secession,Vereinigung bildender Künstler Österreichs Secession,1909,group,1,AT,Vienna,48.2167,16.3667,26,Alive
758,Ivan,Meštrović,Male,1883,1962,Vrpolje,South Bend,Croatia,1260,XXIX. Ausstellung der Vereinigung bildender Künstler Österreichs Secession Wien,Vereinigung bildender Künstler Österreichs Secession,1907,group,2,AT,Vienna,48.2167,16.3667,24,Alive
758,Ivan,Meštrović,Male,1883,1962,Vrpolje,South Bend,Croatia,14,XXIII. Ausstellung der Vereinigung Bildend. Künstler Österreichs Secession,Vereinigung bildender Künstler Österreichs Secession,1905,group,1,AT,Vienna,48.2167,16.3667,22,Alive
760,Ludwig Heinrich,Jungnickel,Male,1881,1965,Wunsiedel,Vienna,Germany,71,XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession,Gebäude der Secession,1906,group,2,AT,Vienna,48.2167,16.3667,25,Alive
760,Ludwig Heinrich,Jungnickel,Male,1881,1965,Wunsiedel,Vienna,Germany,71,XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession,Vereinigung bildender Künstler Österreichs Secession,1906,group,2,AT,Vienna,48.2167,16.3667,25,Alive
760,Ludwig Heinrich,Jungnickel,Male,1881,1965,Wunsiedel,Vienna,Germany,139,LXXVIII. Esposizione internazionale di Belle Arti della Società Amatori e Cultori di Belle Arti in Roma,Palazzo dell'Esposizone,1908,group,4,IT,Rome,41.9,12.483333,27,Alive
761,Wunibald,Deininger,Male,1879,1963,Vienna,Salzburg,Austria,71,XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession,Gebäude der Secession,1906,group,2,AT,Vienna,48.2167,16.3667,27,Alive
761,Wunibald,Deininger,Male,1879,1963,Vienna,Salzburg,Austria,71,XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession,Vereinigung bildender Künstler Österreichs Secession,1906,group,2,AT,Vienna,48.2167,16.3667,27,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,71,XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession,Vereinigung bildender Künstler Österreichs Secession,1906,group,5,AT,Vienna,48.2167,16.3667,27,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,48,XXVI. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession Wien,Vereinigung bildender Künstler Österreichs Secession,1906,group,2,AT,Vienna,48.2167,16.3667,27,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,1270,XXXIII. Ausstellung der Vereinigung bildender Künstler Österreichs Wien Secession,Vereinigung bildender Künstler Österreichs Secession,1909,group,6,AT,Vienna,48.2167,16.3667,30,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,1430,XXX. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession Wien,Vereinigung bildender Künstler Österreichs Secession,1908,group,3,AT,Vienna,48.2167,16.3667,29,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,14,XXIII. Ausstellung der Vereinigung Bildend. Künstler Österreichs Secession,Vereinigung bildender Künstler Österreichs Secession,1905,group,1,AT,Vienna,48.2167,16.3667,26,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,1270,XXXIII. Ausstellung der Vereinigung bildender Künstler Österreichs Wien Secession,Gebäude der Secession,1909,group,6,AT,Vienna,48.2167,16.3667,30,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,71,XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession,Gebäude der Secession,1906,group,5,AT,Vienna,48.2167,16.3667,27,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,48,XXVI. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession Wien,Gebäude der Secession,1906,group,2,AT,Vienna,48.2167,16.3667,27,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,1023,Imp. Royal Austrian Exhibition,Earls Court,1906,group,1,GB,London,51.514248,-0.093145,27,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,1229,"Frühjahr-Ausstellung des Vereins bildender Künstler Münchens ""Secession""","Verein bildender Künstler Münchens ""Secession""",1908,group,1,DE,Munich,48.15,11.583333,29,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,1034,"Frühjahr-Ausstellung des Vereins bildender Künstler Münchens ""Sezession""","Verein bildender Künstler Münchens ""Secession""",1906,group,1,DE,Munich,48.15,11.583333,27,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,118,"Internationale Kunst-Ausstellung des Vereins bildender Künstler Münchens (E.V.) ""Secession""","Verein bildender Künstler Münchens ""Secession""",1907,group,1,DE,Munich,48.15,11.583333,28,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,118,"Internationale Kunst-Ausstellung des Vereins bildender Künstler Münchens (E.V.) ""Secession""",Königliches Kunstausstellungsgebäude am Königsplatz,1907,group,1,DE,Munich,48.15,11.583333,28,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,1229,"Frühjahr-Ausstellung des Vereins bildender Künstler Münchens ""Secession""",Königliches Kunstausstellungsgebäude am Königsplatz,1908,group,1,DE,Munich,48.15,11.583333,29,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,22,VI. Esposizione d'Arte della Città di Venezia,Giardini Pubblici,1905,group,1,IT,Venice,45.438611,12.326667,26,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,1034,"Frühjahr-Ausstellung des Vereins bildender Künstler Münchens ""Sezession""",Königliches Kunstausstellungsgebäude am Königsplatz,1906,group,1,DE,Munich,48.15,11.583333,27,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,1140,"Ausstellung der Vereinigung Polnischer Künstler ""Sztuka""",Räume des Künstlerbundes Hagen - Zedlitzgasse,1908,group,5,AT,Vienna,48.2167,16.3667,29,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,1140,"Ausstellung der Vereinigung Polnischer Künstler ""Sztuka""",Künstlerbund Hagen / Hagenbund,1908,group,5,AT,Vienna,48.2167,16.3667,29,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,1232,VI. výstava „Sdružení výtvarných umělců moravských“ v Hodoníně. Umění polské a moravské,Hodonín (exact location unknown),1909,group,17,CZ,Hodonín,48.856,17.123,30,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,1232,VI. výstava „Sdružení výtvarných umělců moravských“ v Hodoníně. Umění polské a moravské,Sdružení výtvarných umělců moravských,1909,group,17,CZ,Hodonín,48.856,17.123,30,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,22,VI. Esposizione d'Arte della Città di Venezia,Città di Venezia,1905,group,1,IT,Venice,45.438611,12.326667,26,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,1140,"Ausstellung der Vereinigung Polnischer Künstler ""Sztuka""","Towarzystwo Artystów Polskich ""Sztuka""",1908,group,5,PL,Cracow,50.05,19.9167,29,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,1430,XXX. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession Wien,Gebäude der Secession,1908,group,3,AT,Vienna,48.2167,16.3667,29,Alive
762,Stephan,Filipkiewicz,Male,1879,1944,Tarnów,Mauthausen,Poland,14,XXIII. Ausstellung der Vereinigung Bildend. Künstler Österreichs Secession,Gebäude der Secession,1905,group,1,AT,Vienna,48.2167,16.3667,26,Alive
765,Oswald,Roux,Male,1880,1961,Vienna,Vienna,Austria,71,XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession,Vereinigung bildender Künstler Österreichs Secession,1906,group,1,AT,Vienna,48.2167,16.3667,26,Alive
765,Oswald,Roux,Male,1880,1961,Vienna,Vienna,Austria,48,XXVI. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession Wien,Vereinigung bildender Künstler Österreichs Secession,1906,group,3,AT,Vienna,48.2167,16.3667,26,Alive
765,Oswald,Roux,Male,1880,1961,Vienna,Vienna,Austria,1270,XXXIII. Ausstellung der Vereinigung bildender Künstler Österreichs Wien Secession,Vereinigung bildender Künstler Österreichs Secession,1909,group,2,AT,Vienna,48.2167,16.3667,29,Alive
765,Oswald,Roux,Male,1880,1961,Vienna,Vienna,Austria,1260,XXIX. Ausstellung der Vereinigung bildender Künstler Österreichs Secession Wien,Vereinigung bildender Künstler Österreichs Secession,1907,group,2,AT,Vienna,48.2167,16.3667,27,Alive
765,Oswald,Roux,Male,1880,1961,Vienna,Vienna,Austria,1430,XXX. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession Wien,Vereinigung bildender Künstler Österreichs Secession,1908,group,3,AT,Vienna,48.2167,16.3667,28,Alive
765,Oswald,Roux,Male,1880,1961,Vienna,Vienna,Austria,1061,XXXVI. Ausstellung der Vereinigung bildender Künstler Österreichs Secession,Vereinigung bildender Künstler Österreichs Secession,1910,group,5,AT,Vienna,48.2167,16.3667,30,Alive
765,Oswald,Roux,Male,1880,1961,Vienna,Vienna,Austria,1061,XXXVI. Ausstellung der Vereinigung bildender Künstler Österreichs Secession,Gebäude der Secession,1910,group,5,AT,Vienna,48.2167,16.3667,30,Alive
765,Oswald,Roux,Male,1880,1961,Vienna,Vienna,Austria,1430,XXX. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession Wien,Gebäude der Secession,1908,group,3,AT,Vienna,48.2167,16.3667,28,Alive
765,Oswald,Roux,Male,1880,1961,Vienna,Vienna,Austria,1260,XXIX. Ausstellung der Vereinigung bildender Künstler Österreichs Secession Wien,Gebäude der Secession,1907,group,2,AT,Vienna,48.2167,16.3667,27,Alive
765,Oswald,Roux,Male,1880,1961,Vienna,Vienna,Austria,1270,XXXIII. Ausstellung der Vereinigung bildender Künstler Österreichs Wien Secession,Gebäude der Secession,1909,group,2,AT,Vienna,48.2167,16.3667,29,Alive
765,Oswald,Roux,Male,1880,1961,Vienna,Vienna,Austria,71,XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession,Gebäude der Secession,1906,group,1,AT,Vienna,48.2167,16.3667,26,Alive
765,Oswald,Roux,Male,1880,1961,Vienna,Vienna,Austria,48,XXVI. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession Wien,Gebäude der Secession,1906,group,3,AT,Vienna,48.2167,16.3667,26,Alive
770,Stanisław,Podgórski,Male,1882,1964,Kalush,Wiśnicz Nowy,Poland,765,Kaiser-Huldigungs-Ausstellung Hagenbund-Manes-Sztuka,Gebäude der Secession,1908,group,1,AT,Vienna,48.2167,16.3667,26,Alive
770,Stanisław,Podgórski,Male,1882,1964,Kalush,Wiśnicz Nowy,Poland,71,XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession,Gebäude der Secession,1906,group,1,AT,Vienna,48.2167,16.3667,24,Alive
770,Stanisław,Podgórski,Male,1882,1964,Kalush,Wiśnicz Nowy,Poland,71,XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession,Vereinigung bildender Künstler Österreichs Secession,1906,group,1,AT,Vienna,48.2167,16.3667,24,Alive
770,Stanisław,Podgórski,Male,1882,1964,Kalush,Wiśnicz Nowy,Poland,1140,"Ausstellung der Vereinigung Polnischer Künstler ""Sztuka""",Künstlerbund Hagen / Hagenbund,1908,group,4,AT,Vienna,48.2167,16.3667,26,Alive
770,Stanisław,Podgórski,Male,1882,1964,Kalush,Wiśnicz Nowy,Poland,765,Kaiser-Huldigungs-Ausstellung Hagenbund-Manes-Sztuka,Künstlerbund Hagen / Hagenbund,1908,group,1,AT,Vienna,48.2167,16.3667,26,Alive
770,Stanisław,Podgórski,Male,1882,1964,Kalush,Wiśnicz Nowy,Poland,1140,"Ausstellung der Vereinigung Polnischer Künstler ""Sztuka""",Räume des Künstlerbundes Hagen - Zedlitzgasse,1908,group,4,AT,Vienna,48.2167,16.3667,26,Alive
770,Stanisław,Podgórski,Male,1882,1964,Kalush,Wiśnicz Nowy,Poland,1140,"Ausstellung der Vereinigung Polnischer Künstler ""Sztuka""","Towarzystwo Artystów Polskich ""Sztuka""",1908,group,4,PL,Cracow,50.05,19.9167,26,Alive
773,Alfred,Offner,Male,1879,1947,Chernivtsi,Poběžovice,Austria,71,XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession,Vereinigung bildender Künstler Österreichs Secession,1906,group,3,AT,Vienna,48.2167,16.3667,27,Alive
773,Alfred,Offner,Male,1879,1947,Chernivtsi,Poběžovice,Austria,1270,XXXIII. Ausstellung der Vereinigung bildender Künstler Österreichs Wien Secession,Vereinigung bildender Künstler Österreichs Secession,1909,group,3,AT,Vienna,48.2167,16.3667,30,Alive
773,Alfred,Offner,Male,1879,1947,Chernivtsi,Poběžovice,Austria,1260,XXIX. Ausstellung der Vereinigung bildender Künstler Österreichs Secession Wien,Vereinigung bildender Künstler Österreichs Secession,1907,group,3,AT,Vienna,48.2167,16.3667,28,Alive
773,Alfred,Offner,Male,1879,1947,Chernivtsi,Poběžovice,Austria,1260,XXIX. Ausstellung der Vereinigung bildender Künstler Österreichs Secession Wien,Gebäude der Secession,1907,group,3,AT,Vienna,48.2167,16.3667,28,Alive
773,Alfred,Offner,Male,1879,1947,Chernivtsi,Poběžovice,Austria,1270,XXXIII. Ausstellung der Vereinigung bildender Künstler Österreichs Wien Secession,Gebäude der Secession,1909,group,3,AT,Vienna,48.2167,16.3667,30,Alive
773,Alfred,Offner,Male,1879,1947,Chernivtsi,Poběžovice,Austria,71,XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession,Gebäude der Secession,1906,group,3,AT,Vienna,48.2167,16.3667,27,Alive
773,Alfred,Offner,Male,1879,1947,Chernivtsi,Poběžovice,Austria,988,Kollektion Alfred Offner,Galerie Miethke,1908,solo,32,AT,Vienna,48.2167,16.3667,29,Alive
775,Józef,Krasnowolski,Male,1879,1939,Kwidzyń,Cracow,Poland,71,XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession,Gebäude der Secession,1906,group,1,AT,Vienna,48.2167,16.3667,27,Alive
775,Józef,Krasnowolski,Male,1879,1939,Kwidzyń,Cracow,Poland,71,XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession,Vereinigung bildender Künstler Österreichs Secession,1906,group,1,AT,Vienna,48.2167,16.3667,27,Alive
775,Józef,Krasnowolski,Male,1879,1939,Kwidzyń,Cracow,Poland,1232,VI. výstava „Sdružení výtvarných umělců moravských“ v Hodoníně. Umění polské a moravské,Hodonín (exact location unknown),1909,group,4,CZ,Hodonín,48.856,17.123,30,Alive
775,Józef,Krasnowolski,Male,1879,1939,Kwidzyń,Cracow,Poland,1232,VI. výstava „Sdružení výtvarných umělců moravských“ v Hodoníně. Umění polské a moravské,Sdružení výtvarných umělců moravských,1909,group,4,CZ,Hodonín,48.856,17.123,30,Alive
781,Friedrich,Ahlers-Hestermann,Male,1883,1973,Hamburg,Berlin,Germany,179,Salon d'Automne. 6e Exposition,Société du Salon d'Automne,1908,group,1,FR,Paris,48.866667,2.333333,25,Alive
781,Friedrich,Ahlers-Hestermann,Male,1883,1973,Hamburg,Berlin,Germany,179,Salon d'Automne. 6e Exposition,Grand Palais des Champs Elysées,1908,group,1,FR,Paris,48.866667,2.333333,25,Alive
781,Friedrich,Ahlers-Hestermann,Male,1883,1973,Hamburg,Berlin,Germany,573,Ausstellung des Deutschen Künstlerbundes 1913,Kunsthalle Mannheim,1913,group,1,DE,Mannheim,49.488333,8.464722,30,Alive
781,Friedrich,Ahlers-Hestermann,Male,1883,1973,Hamburg,Berlin,Germany,117,Deutsch-Nationale Kunst-Ausstellung,Städtischer Kunstpalast,1907,group,1,DE,Dusseldorf,51.216667,6.766667,24,Alive
781,Friedrich,Ahlers-Hestermann,Male,1883,1973,Hamburg,Berlin,Germany,148,Deutsche Kunstausstellung Bremen,Kunsthalle Bremen,1908,group,2,DE,Bremen,53.083333,8.8,25,Alive
781,Friedrich,Ahlers-Hestermann,Male,1883,1973,Hamburg,Berlin,Germany,211,Achtzehnte Ausstellung der Berliner Secession,Berliner Secession,1909,group,1,DE,Berlin,52.516667,13.4,26,Alive
781,Friedrich,Ahlers-Hestermann,Male,1883,1973,Hamburg,Berlin,Germany,211,Achtzehnte Ausstellung der Berliner Secession,Ausstellungshaus am Kurfürstendamm 208/9,1909,group,1,DE,Berlin,52.516667,13.4,26,Alive
781,Friedrich,Ahlers-Hestermann,Male,1883,1973,Hamburg,Berlin,Germany,570,LIA. Leipziger Jahresausstellung 1913,Gelände der Internationalen Baufach-Ausstellung,1913,group,2,DE,Leipzig,51.3333,12.4167,30,Alive
781,Friedrich,Ahlers-Hestermann,Male,1883,1973,Hamburg,Berlin,Germany,570,LIA. Leipziger Jahresausstellung 1913,Verein Leipziger Jahres-Ausstellung,1913,group,2,DE,Leipzig,51.3333,12.4167,30,Alive
782,Helene,Albiker,Female,1878,1952,Prague,Ettlingen,Germany,117,Deutsch-Nationale Kunst-Ausstellung,Städtischer Kunstpalast,1907,group,1,DE,Dusseldorf,51.216667,6.766667,29,Alive
783,Heinrich,Altherr,Male,1878,1947,Basel,Zurich,Switzerland,116,Internationale Kunstausstellung Mannheim,Kunsthalle Mannheim,1907,group,1,DE,Mannheim,49.488333,8.464722,29,Alive
786,Heinrich,Baden,Male,1887,1954,Bremen,Sankt Magnus,Germany,689,Kunstausstellung der Münchener Secession,Königliches Kunstausstellungsgebäude am Königsplatz,1914,group,2,DE,Munich,48.15,11.583333,27,Alive
786,Heinrich,Baden,Male,1887,1954,Bremen,Sankt Magnus,Germany,645,Internationale Ausstellung in der Kunsthalle Bremen,Kunsthalle Bremen,1914,group,9,DE,Bremen,53.083333,8.8,27,Alive
786,Heinrich,Baden,Male,1887,1954,Bremen,Sankt Magnus,Germany,573,Ausstellung des Deutschen Künstlerbundes 1913,Kunsthalle Mannheim,1913,group,1,DE,Mannheim,49.488333,8.464722,26,Alive
788,Josef,Bató,Male,1888,1966,Budapest,London,Hungary,493,Fünfundzwanzigste Ausstellung der Berliner Secession. Zeichnende Künste,Berliner Secession,1912,group,2,DE,Berlin,52.516667,13.4,24,Alive
788,Josef,Bató,Male,1888,1966,Budapest,London,Hungary,553,XXVI. Ausstellung der Berliner Secession,Berliner Secession,1913,group,1,DE,Berlin,52.516667,13.4,25,Alive
788,Josef,Bató,Male,1888,1966,Budapest,London,Hungary,573,Ausstellung des Deutschen Künstlerbundes 1913,Kunsthalle Mannheim,1913,group,2,DE,Mannheim,49.488333,8.464722,25,Alive
788,Josef,Bató,Male,1888,1966,Budapest,London,Hungary,462,Internationale Kunstausstellung des Sonderbundes Westdeutscher Kunstfreunde und Künstler zu Cöln,Städtische Ausstellungshalle am Aachener Tor,1912,group,1,DE,Cologne,50.933333,6.95,24,Alive
788,Josef,Bató,Male,1888,1966,Budapest,London,Hungary,493,Fünfundzwanzigste Ausstellung der Berliner Secession. Zeichnende Künste,Ausstellungshaus am Kurfürstendamm 208/9,1912,group,2,DE,Berlin,52.516667,13.4,24,Alive
788,Josef,Bató,Male,1888,1966,Budapest,London,Hungary,521,Die Neue Kunst,Galerie Miethke,1913,group,1,AT,Vienna,48.2167,16.3667,25,Alive
788,Josef,Bató,Male,1888,1966,Budapest,London,Hungary,666,Erste Ausstellung der Freien Secession Berlin,Ausstellungshaus am Kurfürstendamm 208/9,1914,group,1,DE,Berlin,52.516667,13.4,26,Alive
788,Josef,Bató,Male,1888,1966,Budapest,London,Hungary,553,XXVI. Ausstellung der Berliner Secession,Ausstellungshaus am Kurfürstendamm 208/9,1913,group,1,DE,Berlin,52.516667,13.4,25,Alive
788,Josef,Bató,Male,1888,1966,Budapest,London,Hungary,438,XXIV. Ausstellung der Berliner Secession,Ausstellungshaus am Kurfürstendamm 208/9,1912,group,2,DE,Berlin,52.516667,13.4,24,Alive
788,Josef,Bató,Male,1888,1966,Budapest,London,Hungary,438,XXIV. Ausstellung der Berliner Secession,Berliner Secession,1912,group,2,DE,Berlin,52.516667,13.4,24,Alive
788,Josef,Bató,Male,1888,1966,Budapest,London,Hungary,462,Internationale Kunstausstellung des Sonderbundes Westdeutscher Kunstfreunde und Künstler zu Cöln,Sonderbund Westdeutscher Kunstfreunde und Künstler,1912,group,1,DE,Cologne,50.933333,6.95,24,Alive
789,Heinrich,Beecke,Male,1877,1954,Strasburg,Strasburg,Germany,58,"Deutsche Kunstausstellung in der ""Flora""",Verband der Kunstfreunde in den Ländern am Rhein,1906,group,4,DE,Dusseldorf,51.216667,6.766667,29,Alive
789,Heinrich,Beecke,Male,1877,1954,Strasburg,Strasburg,Germany,58,"Deutsche Kunstausstellung in der ""Flora""","Kölner Verein zur Förderung der Ausstellung [""Flora""]",1906,group,4,DE,Cologne,50.933333,6.95,29,Alive
789,Heinrich,Beecke,Male,1877,1954,Strasburg,Strasburg,Germany,58,"Deutsche Kunstausstellung in der ""Flora""",Ausstellungsgelände Botanischer Garten Flora,1906,group,4,DE,Cologne,50.933333,6.95,29,Alive
790,Frank Louis,Behrens,Male,1883,1945,Biel,Biel,Switzerland,1327,Kunstausstellung der Münchener Secession,Königliches Kunstausstellungsgebäude am Königsplatz,1912,group,1,DE,Munich,48.15,11.583333,29,Alive
790,Frank Louis,Behrens,Male,1883,1945,Biel,Biel,Switzerland,1327,Kunstausstellung der Münchener Secession,"Verein bildender Künstler Münchens ""Secession""",1912,group,1,DE,Munich,48.15,11.583333,29,Alive
790,Frank Louis,Behrens,Male,1883,1945,Biel,Biel,Switzerland,363,Internationale Kunstausstellung der Münchener Secession,Königliches Kunstausstellungsgebäude am Königsplatz,1911,group,2,DE,Munich,48.15,11.583333,28,Alive
790,Frank Louis,Behrens,Male,1883,1945,Biel,Biel,Switzerland,573,Ausstellung des Deutschen Künstlerbundes 1913,Kunsthalle Mannheim,1913,group,1,DE,Mannheim,49.488333,8.464722,30,Alive
790,Frank Louis,Behrens,Male,1883,1945,Biel,Biel,Switzerland,363,Internationale Kunstausstellung der Münchener Secession,"Verein bildender Künstler Münchens ""Secession""",1911,group,2,DE,Munich,48.15,11.583333,28,Alive
791,Charlotte,Corinth,Female,1880,1967,Berlin,New York,Germany,133,"Vierzehnte Ausstellung der Berliner Secession, Zeichnende Künste",Paul Cassirer,1907,group,1,DE,Berlin,52.516667,13.4,27,Alive
791,Charlotte,Corinth,Female,1880,1967,Berlin,New York,Germany,280,Zwanzigste Ausstellung der Berliner Secession,Ausstellungshaus am Kurfürstendamm 208/9,1910,group,2,DE,Berlin,52.516667,13.4,30,Alive
791,Charlotte,Corinth,Female,1880,1967,Berlin,New York,Germany,154,Fünfzehnte Ausstellung der Berliner Secession,Berliner Secession,1908,group,1,DE,Berlin,52.516667,13.4,28,Alive
791,Charlotte,Corinth,Female,1880,1967,Berlin,New York,Germany,133,"Vierzehnte Ausstellung der Berliner Secession, Zeichnende Künste",Berliner Secession,1907,group,1,DE,Berlin,52.516667,13.4,27,Alive
791,Charlotte,Corinth,Female,1880,1967,Berlin,New York,Germany,96,Dreizehnte Ausstellung der Berliner Secession,Berliner Secession,1907,group,1,DE,Berlin,52.516667,13.4,27,Alive
791,Charlotte,Corinth,Female,1880,1967,Berlin,New York,Germany,968,Ausstellung des Deutschen Künstlerbundes Darmstadt,Städtisches Ausstellungsgebäude auf der Mathildenhöhe,1910,group,2,DE,Darmstadt,49.870556,8.649444,30,Alive
791,Charlotte,Corinth,Female,1880,1967,Berlin,New York,Germany,968,Ausstellung des Deutschen Künstlerbundes Darmstadt,Deutscher Künstlerbund,1910,group,2,DE,-,51.5,10.5,30,Alive
791,Charlotte,Corinth,Female,1880,1967,Berlin,New York,Germany,52,Elfte Ausstellung der Berliner Secession,Berliner Secession,1906,group,1,DE,Berlin,52.516667,13.4,26,Alive
791,Charlotte,Corinth,Female,1880,1967,Berlin,New York,Germany,280,Zwanzigste Ausstellung der Berliner Secession,Berliner Secession,1910,group,2,DE,Berlin,52.516667,13.4,30,Alive
791,Charlotte,Corinth,Female,1880,1967,Berlin,New York,Germany,211,Achtzehnte Ausstellung der Berliner Secession,Berliner Secession,1909,group,1,DE,Berlin,52.516667,13.4,29,Alive
791,Charlotte,Corinth,Female,1880,1967,Berlin,New York,Germany,96,Dreizehnte Ausstellung der Berliner Secession,Ausstellungshaus am Kurfürstendamm 208/9,1907,group,1,DE,Berlin,52.516667,13.4,27,Alive
791,Charlotte,Corinth,Female,1880,1967,Berlin,New York,Germany,154,Fünfzehnte Ausstellung der Berliner Secession,Ausstellungshaus am Kurfürstendamm 208/9,1908,group,1,DE,Berlin,52.516667,13.4,28,Alive
791,Charlotte,Corinth,Female,1880,1967,Berlin,New York,Germany,52,Elfte Ausstellung der Berliner Secession,Ausstellungshaus am Kurfürstendamm 208/9,1906,group,1,DE,Berlin,52.516667,13.4,26,Alive
